1 高拉特	广州恒大淘宝	前锋	29	19	2
2	登巴巴	上海绿地申花	前锋	18	14	1
3	武磊	上海上港	前锋	30	14	1
4	阿兰	广州恒大淘宝	前锋	27	14	1
5	詹姆斯	辽宁盘锦宏运	前锋	28	14	3
6	莫雷洛	长春亚泰	前锋	29	13	5
7	特谢拉	江苏苏宁	中场	28	11	1
8	扎哈维	广州富力	前锋	15	11	2
9	伊尔马兹	北京国安乐视	前锋	19	11	4
10	埃尔克森	上海上港	前锋	26	10	1
11	罗格.马丁内斯	江苏苏宁	前锋	12	10	1
12	M.迪亚格尼	天津泰达亿利	前锋	27	10	2
13	费尔南迪尼奥	重庆力帆	前锋	29	9	0
14	董学升	河北中基	前锋	26	9	0
15	奥巴费米·马丁斯	上海绿地申花	前锋	25	9	0
16	蒙特罗	天津泰达亿利	前锋	29	9	1
17	吉奥瓦尼·莫雷诺	上海绿地申花	中场	26	9	2
18	E.吉里奥蒂	重庆力帆	前锋	26	9	2
19	雷纳迪尼奥	广州富力	中场	23	9	3
20	W.蒙蒂洛	山东鲁能	中场	24	9	4
21	尹比加林	延边长白虎	中场	25	8	0
22	夸西	上海上港	前锋	27	8	0
23	哈维尔·帕蒂诺	河南建业	前锋	28	8	0
24	布巴卡尔.斯蒂夫	延边长白虎	中场	26	8	0
25	金承大	延边长白虎	前锋	30	8	1
26	马修斯	石家庄永昌	前锋	16	8	3
27	郜林	广州恒大淘宝	前锋	28	7	0
28	保利尼奥	广州恒大淘宝	中场	30	7	0
29	艾伦·卡德克	重庆力帆	前锋	10	7	1
30	Anselmo	杭州大金绿城	前锋	14	7	1
31	阿洛伊西奥	河北中基	前锋	22	7	2
32	肖智	广州富力	前锋	25	6	0
33	姆比亚	河北中基	中场	26	6	0
34	阿萨尼	辽宁盘锦宏运	后卫	28	6	1
35	王栋	重庆力帆	中场	29	6	1
36	张稀哲	北京国安乐视	中场	25	6	1
37	帕皮斯-西塞	山东鲁能	前锋	13	5	0
38	毛剑卿	石家庄永昌	前锋	26	5	0
39	乌贾	辽宁盘锦宏运	前锋	15	5	0
40	阿伯斯托罗斯	广州富力	前锋	22	5	0
41	吉翔	江苏苏宁	中场	28	5	0
42	佩莱	山东鲁能	前锋	13	5	0
43	胡尔克	上海上港	前锋	8	5	1
44	若	江苏苏宁	前锋	17	5	2
45	德尼尔森-马尔蒂尼奥·加比奥内塔	杭州大金绿城	前锋	29	5	3
46	于大宝	北京国安乐视	前锋	22	4	0
47	奥斯曼,索乌	河南建业	前锋	30	4	0
48	金波	延边长白虎	前锋	22	4	0
49	曹赟定	上海绿地申花	中场	29	4	0
50	郑龙	广州恒大淘宝	中场	19	4	0
51	Dario Leonardo	上海上港	中场	17	4	0
52	萨米尔	杭州大金绿城	中场	28	4	0
53	胡人天	天津泰达亿利	中场	30	4	0
54	拉米雷斯	江苏苏宁	中场	26	4	0
55	杰克逊·马丁内斯	广州恒大淘宝	前锋	10	4	0
56	奥古斯托	北京国安乐视	中场	23	4	1
57	Diego Mauricio	石家庄永昌	前锋	25	4	1
58	卡希尔	杭州大金绿城	前锋	17	4	2
59	伊沃	河南建业	中场	29	4	2
60	瓜林	上海绿地申花	中场	26	4	2
61	塔尔德利	山东鲁能	前锋	12	3	0
62	热尔维尼奥	河北中基	前锋	18	3	0
63	于汉超	广州恒大淘宝	中场	19	3	0
64	丁捷	重庆力帆	中场	26	3	0
65	姜宁	河北中基	前锋	29	3	0
66	刘彬彬	山东鲁能	中场	20	3	0
67	吴曦	江苏苏宁	中场	26	3	0
68	曹阳	天津泰达亿利	后卫	25	3	0
69	安祖尔·伊斯梅洛夫	长春亚泰	后卫	17	3	0
70	迈克尔·特威特	辽宁盘锦宏运	后卫	25	3	0
71	金泰延	辽宁盘锦宏运	后卫	28	3	0
72	裴帅	长春亚泰	中场	24	3	0
73	米卡尔	石家庄永昌	中场	27	3	0
74	阿萨莫阿·吉安	上海上港	前锋	10	3	0
75	吕文君	上海上港	前锋	26	3	0
76	杨旭	山东鲁能	前锋	17	3	0
77	卢琳	广州富力	中场	24	3	0
78	马里克·埃沃纳	天津泰达亿利	前锋	10	3	0
79	曾超	广州富力	后卫	21	3	0
80	任航	江苏苏宁	后卫	12	3	0
81	王永珀	山东鲁能	中场	13	3	0
82	刘宇	重庆力帆	后卫	28	3	0
83	Tae Goon	延边长白虎	前锋	25	3	0
84	尼古拉·佩特科维奇	延边长白虎	后卫	22	3	1
85	谢鹏飞	江苏苏宁	后卫	14	2	0
86	谈杨	杭州大金绿城	前锋	18	2	0
87	李建滨	上海绿地申花	后卫	19	2	0
88	瑞恩·麦高文	河南建业	后卫	28	2	0
89	布鲁诺	长春亚泰	前锋	13	2	0
90	张野	辽宁盘锦宏运	中场	19	2	0
91	惠家康	天津泰达亿利	中场	23	2	0
92	吴兴涵	山东鲁能	中场	22	2	0
93	赵容亨	石家庄永昌	后卫	26	2	0
94	吴庆	重庆力帆	中场	25	2	0
95	罗森文	河北中基	中场	26	2	0
96	达里奥·维多西奇	辽宁盘锦宏运	中场	13	2	0
97	姜积弘	石家庄永昌	后卫	21	2	0
98	吕征	上海绿地申花	前锋	26	2	0
99	伊布拉西马·图雷	辽宁盘锦宏运	前锋	10	2	0
100	厄桑-阿德姆·古伦	河北中基	后卫	23	2	0
101	戴琳	山东鲁能	后卫	21	2	0
102	洪正好	江苏苏宁	后卫	12	2	0
103	汪嵩	广州富力	中场	30	2	0
104	李昂	江苏苏宁	后卫	22	2	0
105	约万诺维奇	天津泰达亿利	后卫	23	2	0
106	塞恩斯伯里	江苏苏宁	后卫	29	2	0
107	阿尔梅达	河南建业	后卫	13	2	0
108	张晓彬	江苏苏宁	中场	28	2	0
109	奥尔西奇	长春亚泰	前锋	14	2	0
110	崔仁	延边长白虎	中场	17	2	0
111	范晓冬	长春亚泰	中场	30	2	0
112	J.维埃拉	重庆力帆	前锋	8	2	0
113	陈灏	河南建业	前锋	21	2	0
114	卡库塔	河北中基	前锋	24	2	0
115	关震	石家庄永昌	门将	29	2	2
116	徐洋	重庆力帆	中场	30	1	0
117	埃克拜尔	延边长白虎	中场	4	1	0
118	崔民	延边长白虎	后卫	30	1	0
119	贺惯	上海上港	后卫	8	1	0
120	李源一	天津泰达亿利	中场	10	1	0
121	谢尔盖耶夫	北京国安乐视	前锋	14	1	0
122	杨博宇	长春亚泰	后卫	9	1	0
123	李浩文	上海上港	前锋	4	1	0
124	唐淼	广州富力	后卫	25	1	0
125	廖力生	广州恒大淘宝	中场	15	1	0
126	王燊超	上海上港	后卫	24	1	0
127	黄博文	广州恒大淘宝	中场	28	1	0
128	戴维-克劳德·安冈	杭州大金绿城	前锋	14	1	0
129	朱利安·戈留斯	长春亚泰	中场	12	1	0
130	阎峰	长春亚泰	中场	20	1	0
131	张耀坤	广州富力	后卫	26	1	0
132	姜至鹏	广州富力	后卫	26	1	0
133	陈志钊	广州富力	中场	17	1	0
134	尤西莱	山东鲁能	中场	30	1	0
135	池忠国	延边长白虎	中场	23	1	0
136	傅欢	上海上港	后卫	20	1	0
137	赵和靖	北京国安乐视	后卫	26	1	0
138	冯绍顺	石家庄永昌	中场	17	1	0
139	Jean-Philippe	石家庄永昌	前锋	13	1	0
140	赞纳迪内	天津泰达亿利	后卫	26	1	0
141	景洛	杭州大金绿城	中场	17	1	0
142	拉尔夫	北京国安乐视	中场	30	1	0
143	周海滨	天津泰达亿利	后卫	22	1	0
144	冯刚	杭州大金绿城	中场	22	1	0
145	瓦格纳	天津泰达亿利	中场	11	1	0
146	张贤秀	广州富力	后卫	24	1	0
147	杜明洋	北京国安乐视	中场	5	1	0
148	叶楚贵	广州富力	前锋	6	1	0
149	尹鸿博	河南建业	中场	28	1	0
150	张池明	北京国安乐视	中场	23	1	0
151	陈柏良	杭州大金绿城	中场	25	1	0
152	程谋义	杭州大金绿城	中场	17	1	0
153	于海	上海上港	后卫	29	1	0
154	蔡慧康	上海上港	中场	27	1	0
155	郑又荣	重庆力帆	中场	30	1	0
156	范柏群	天津泰达亿利	中场	13	1	0
157	雷腾龙	北京国安乐视	后卫	25	1	0
158	朴成	北京国安乐视	中场	19	1	0
159	张利峰	河北中基	中场	9	1	0
160	冯卓毅	河南建业	中场	27	1	0
161	李晓明	河南建业	中场	21	1	0
162	孙世林	辽宁盘锦宏运	中场	24	1	0
163	郑智	广州恒大淘宝	中场	26	1	0
164	黄希扬	杭州大金绿城	中场	20	1	0
165	钟晋宝	河南建业	中场	17	1	0
166	斯文松	广州富力	中场	28	0	0
167	路堯	河南建业	中场	14	0	0
168	丁海峰	河北中基	后卫	28	0	0
169	Qin	重庆力帆	后卫	13	0	0
170	石笑天	辽宁盘锦宏运	门将	29	0	0
171	姜洪权	延边长白虎	后卫	19	0	0
172	戈兰·米洛维奇	重庆力帆	后卫	21	0	0